,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
6226,2019,2018-12-11 14:05:48.543,58250.0,Poland,,Microsoft SQL Server,11,"Azure SQL DB, Azure Data Warehouse",Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,11,3,More than 5,250-499,100,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,2,1M+ (metropolis),Private business,No,"Stay with the same employer,  but change roles",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, On-call as part of a rotation, R&D",1
3216,2018,2017-12-12 11:46:35.894,81518.85,Canada,k1y0z9,Microsoft SQL Server,15,"Microsoft SQL Server, Oracle, PostgreSQL, Cassandra, Elasticsearch",Full time employee,"Developer: App code (C#, JS, etc)",No,5,Not Asked,None,Not Asked,30,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Federal government,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,Developer: T-SQL,"Build scripts & automation tools, Meetings & management, Projects",1
3814,2018,2017-12-15 12:26:21.648,140000.0,United States,92101,Microsoft SQL Server,10,"Microsoft SQL Server, Azure SQL DB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,7,Not Asked,None,Not Asked,3,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Architect, Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Manager","Manual tasks, Meetings & management",1
129,2017,2017-01-05 08:53:11.526,72000.0,United States,Not Asked,Microsoft SQL Server,3,,Full time employee,DBA,No,1,Not Asked,5,Not Asked,60,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5103,2018,2017-12-20 14:55:33.794,93000.0,Germany,,Microsoft SQL Server,17,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,12,Not Asked,1,Not Asked,20,None (no degree completed),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer,  but change roles",Male,,"Build scripts & automation tools, Manual tasks",1
6765,2019,2018-12-28 12:30:58.053,90000.0,United States,68127,Microsoft SQL Server,15,Azure SQL DB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,18,3,None,6-99,5,Associates (2 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",300K-1M (large city),Private business,No,"Stay with the same employer, same role",Male,Architect,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching",1
4599,2018,2017-12-20 08:25:18.215,83000.0,United States,20814,Microsoft SQL Server,3,Microsoft SQL Server,Full time employee,Analyst,No,3,Not Asked,None,Not Asked,6,None (no degree completed),,"No, I never have",50,1,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,Architect,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
13,2017,2017-01-05 07:23:58.908,63000.0,United Kingdom,Not Asked,Microsoft SQL Server,7,Oracle,Full time employee,Developer: T-SQL,No,3,Not Asked,2,Not Asked,6,Bachelors (4 years),No,"No, I never have",37,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5910,2018,2018-01-02 23:21:52.145,119831.0,United States,55388,Microsoft SQL Server,30,,Full time employee,"Developer: App code (C#, JS, etc)",No,30,Not Asked,1,Not Asked,10,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,Developer: T-SQL,"Projects, R&D",1
4476,2018,2017-12-20 03:13:03.470,62239.0,United Kingdom,,Microsoft SQL Server,8,Microsoft Access,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,8,Not Asked,1,Not Asked,26,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects",1
1525,2017,2017-01-06 17:08:31.116,57000.0,United States,Not Asked,Microsoft SQL Server,2,"MongoDB, DB2",Full time employee,DBA,No,2,Not Asked,4,Not Asked,50,None (no degree completed),,"No, I never have",42,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2365,2017,2017-01-09 13:30:41.048,81723.0,United States,Not Asked,Microsoft SQL Server,10,Oracle,Full time employee,DBA,No,1,Not Asked,1,Not Asked,45,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Local government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4648,2018,2017-12-20 08:55:56.063,66000.0,Canada,,Microsoft SQL Server,20,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Redis, SQLite, Elasticsearch",Full time employee,"Developer: App code (C#, JS, etc)",Yes,15,Not Asked,5,Not Asked,5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, Data Scientist, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, R&D",1
3052,2018,2017-12-12 06:43:55.387,88000.0,South Africa,,Microsoft SQL Server,18,Oracle,Full time employee,Developer: T-SQL,No,8,Not Asked,1,Not Asked,4,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,"Developer: App code (C#, JS, etc)",Projects,1
4005,2018,2017-12-18 10:58:10.368,61206.0,United Arab Emirates,30605,Oracle,3,,Full time employee,"Developer: App code (C#, JS, etc)",No,3,Not Asked,More than 5,Not Asked,15,Bachelors (4 years),Yes,"No, I never have",45,2,Not Asked,State/province government,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D",1
2340,2017,2017-01-09 12:47:14.422,97000.0,United States,Not Asked,Microsoft SQL Server,13,"Oracle, Microsoft Access",Full time employee,DBA,No,4,Not Asked,3,Not Asked,20,Masters,No,"No, I never have",40,5 or more,Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
374,2017,2017-01-05 11:21:06.198,120000.0,United States,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Redis, InfluxDB",Full time employee,"Developer: App code (C#, JS, etc)",Yes,5,Not Asked,More than 5,Not Asked,5,None (no degree completed),,"No, I never have",42,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5022,2018,2017-12-20 12:41:04.929,86000.0,United States,15203,Microsoft SQL Server,18,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",Yes,2,Not Asked,1,Not Asked,1,None (no degree completed),,"No, I never have",50,1,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Architect,"Manual tasks, Meetings & management, Projects",1
5921,2018,2018-01-03 04:32:58.528,70000.0,Jersey,JE2,Microsoft SQL Server,10,"Microsoft SQL Server, Microsoft Access",Full time employee,Analyst,No,1,Not Asked,2,Not Asked,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, R&D",1
939,2017,2017-01-05 14:58:45.619,100000.0,Australia,Not Asked,Microsoft SQL Server,8,"Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,1,Not Asked,3,Not Asked,500,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6596,2019,2018-12-21 22:36:41.920,30000.0,Romania,,Microsoft SQL Server,3,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,1 (this is the only company where I've had this kind of position),2,1000 or more,100,None (no degree completed),,"Yes, and they're currently valid",10,5 or more,300K-1M (large city),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D",1
4573,2018,2017-12-20 08:17:27.684,142000.0,United States,60189,Microsoft SQL Server,5,,Full time employee of a consulting/contracting company,Manager,Yes,3,Not Asked,None,Not Asked,40,Bachelors (4 years),No,"No, I never have",60,1,Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"Analyst, Architect, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching",1
2147,2017,2017-01-09 10:25:39.286,95000.0,United States,Not Asked,Microsoft SQL Server,20,"Oracle, DB2, Microsoft Access, Cache, Hana",Full time employee,Analyst,No,20,Not Asked,More than 5,Not Asked,20,Bachelors (4 years),No,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
3591,2018,2017-12-13 04:55:54.443,137000.0,United States,21014,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,Not Asked,1,Not Asked,40,Associates (2 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,State/province government,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, On-call 24/7/365",1
5447,2018,2017-12-24 04:30:17.784,66000.0,Sweden,,Microsoft SQL Server,4,"Microsoft SQL Server, Azure SQL DB",Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,20,Not Asked,2,Not Asked,20,None (no degree completed),No,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,,,1
6253,2019,2018-12-11 19:03:48.245,110000.0,United States,46032,Microsoft SQL Server,17,"PostgreSQL, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,17,2 (I worked at another similar position elsewhere before this one),1,1000 or more,20,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,,1
5792,2018,2018-01-02 07:19:11.189,82000.0,United States,33487,Microsoft SQL Server,10,MySQL/MariaDB,Full time employee,"Developer: App code (C#, JS, etc)",No,10,Not Asked,None,Not Asked,1,Doctorate/PhD,Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Prefer not to say,Female,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Manager",Build scripts & automation tools,1
3623,2018,2017-12-13 08:46:26.471,124000.0,United States,30047,DB2,28,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,Not Asked,3,Not Asked,137,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, R&D, Training/teaching",1
529,2017,2017-01-05 11:40:23.899,87100.0,United States,Not Asked,Microsoft Access,13,Microsoft SQL Server,Full time employee,Architect,No,7,Not Asked,None,Not Asked,3,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
3714,2018,2017-12-14 05:45:39.771,19000.0,Poland,93-350,Microsoft SQL Server,3,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Elasticsearch, SAP, SAP HANA (yep, ""SAP"" doesnt tell it enough)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,2,Not Asked,None,Not Asked,15,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Engineer,"Build scripts & automation tools, Manual tasks, R&D, Training/teaching",1
4732,2018,2017-12-20 09:36:16.619,140000.0,United States,276,Microsoft SQL Server,10,"Amazon RDS (any flavor), Redshift",Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,20,Not Asked,None,Not Asked,30,Masters,Yes,"Yes, but they expired",40,1,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Female,"Developer: T-SQL, Engineer, Manager","Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects, R&D",1
1269,2017,2017-01-06 05:26:29.502,77947.0,United Kingdom,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, MongoDB, Azure SQL DB",Full time employee of a consulting/contracting company,Architect,No,4,Not Asked,2,Not Asked,1500,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4281,2018,2017-12-19 08:47:56.146,64000.0,United Kingdom,,Oracle,4,Microsoft SQL Server,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,4,Not Asked,4,Not Asked,3,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,Architect,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, Training/teaching",1
1394,2017,2017-01-06 10:31:01.279,131000.0,United States,Not Asked,Microsoft SQL Server,3,Oracle,Full time employee,DBA,Yes,24,Not Asked,4,Not Asked,20,Bachelors (4 years),Yes,"No, I never have",44,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4850,2018,2017-12-20 11:13:56.187,107900.0,United States,95624,Microsoft SQL Server,5,"Microsoft Access, Azure SQL DB",Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",Yes,4,Not Asked,None,Not Asked,10,Bachelors (4 years),Yes,"No, I never have",60,1,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
4009,2018,2017-12-18 11:08:18.195,110000.0,United States,85207,Microsoft SQL Server,10,"Microsoft SQL Server, MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,10,Not Asked,5,Not Asked,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D",1
4390,2018,2017-12-19 15:48:23.826,32000.0,United States,85234,Microsoft SQL Server,4,"MySQL/MariaDB, Microsoft Access",Full time employee,Developer: T-SQL,No,4,Not Asked,None,Not Asked,1,None (no degree completed),,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks, Projects, Training/teaching",1
1797,2017,2017-01-09 03:48:22.058,40000.0,Spain,Not Asked,Microsoft SQL Server,8,,Full time employee,Engineer,Yes,6,Not Asked,1,Not Asked,5,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2979,2018,2017-12-11 13:25:46.486,69000.0,Belgium,3500,Microsoft SQL Server,8,"Microsoft SQL Server, PostgreSQL, MongoDB, Microsoft Access, Redis, Elasticsearch",Full time employee,Manager,Yes,5,Not Asked,2,Not Asked,40,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,1,Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Analyst, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching",1
1441,2017,2017-01-06 12:21:38.884,78500.0,United States,Not Asked,Microsoft SQL Server,18,,Full time employee,Analyst,No,10,Not Asked,None,Not Asked,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
5152,2018,2017-12-20 17:19:17.449,120000.0,Australia,,Microsoft SQL Server,25,"Microsoft SQL Server, Oracle, MongoDB, DB2, Microsoft Access, SAP, Azure SQL DB",Full time employee,Data Scientist,Yes,25,Not Asked,2,Not Asked,6,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,State/province government,No,"Stay with the same employer,  but change roles",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching",1
6715,2019,2018-12-25 20:23:48.976,110000.0,United States,10010,PostgreSQL,1,"PostgreSQL, Amazon RDS (any flavor), Impala",Full time employee,Manager,Yes,4,2 (I worked at another similar position elsewhere before this one),None,1000 or more,4,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Manager","Meetings & management, Projects, Training/teaching",1
3811,2018,2017-12-15 12:13:54.165,121000.0,United States,92618,Microsoft SQL Server,19,,Full time employee,Developer: T-SQL,No,19,Not Asked,5,Not Asked,40,None (no degree completed),,"Yes, but they expired",45,1,Not Asked,Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR)","Manual tasks, Projects",1
1273,2017,2017-01-06 05:44:40.673,40000.0,United Kingdom,Not Asked,Microsoft SQL Server,2,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, SQLite",Full time employee,DBA,No,4,Not Asked,None,Not Asked,10,Associates (2 years),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
4703,2018,2017-12-20 09:21:11.008,65000.0,United States,56401,Microsoft SQL Server,5,"MySQL/MariaDB, Redis, Elasticsearch",Full time employee,"Developer: App code (C#, JS, etc)",No,5,Not Asked,More than 5,Not Asked,5,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, On-call 24/7/365, Projects",1
1712,2017,2017-01-08 18:54:47.446,5000.0,Venezuela,Not Asked,Microsoft SQL Server,5,MySQL/MariaDB,Full time employee of a consulting/contracting company,Other,Yes,5,Not Asked,2,Not Asked,25,Associates (2 years),Yes,"No, I never have",40,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
955,2017,2017-01-05 15:21:55.941,124600.0,United States,Not Asked,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee,DBA,No,4,Not Asked,2,Not Asked,160,Masters,Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6190,2019,2018-12-11 12:13:27.055,250000.0,United States,551,Microsoft SQL Server,20,Oracle,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,6 or more,None,1000 or more,50,Masters,Yes,"Yes, and they're currently valid",50,5 or more,20K-99K (large town),Private business,No,"Stay with the same employer, same role",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Meetings & management, Projects",1
5507,2018,2017-12-26 11:45:05.911,49000.0,Sweden,,Microsoft SQL Server,2,"Azure SQL DB, RavenDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,Not Asked,None,Not Asked,30,None (no degree completed),,"No, I never have",41,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Female,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
6090,2019,2018-12-11 09:13:32.647,105000.0,United States,53202,Microsoft SQL Server,20,"Microsoft SQL Server, Oracle, SAP",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,20,5,None,1000 or more,405,Masters,No,"No, I never have",43,"None, or less than 1 day per week",300K-1M (large city),Private business,No,"Stay with the same employer, same role",Female,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D",1
6325,2019,2018-12-12 07:03:53.275,102000.0,United States,53718,Microsoft SQL Server,14,DB2,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,10,2 (I worked at another similar position elsewhere before this one),None,100-249,15,Associates (2 years),,"No, I never have",40,"None, or less than 1 day per week",300K-1M (large city),Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Projects",1
403,2017,2017-01-05 11:23:09.810,120000.0,United States,Not Asked,Microsoft SQL Server,17,,Full time employee,DBA,Yes,3,Not Asked,3,Not Asked,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2071,2017,2017-01-09 09:31:53.825,110000.0,United States,Not Asked,Microsoft SQL Server,6,"Oracle, DB2, Teradata",Full time employee,Manager,Yes,6,Not Asked,None,Not Asked,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6809,2019,2018-12-31 03:12:28.597,43000.0,United Kingdom,SN14 ,Microsoft SQL Server,4,"MySQL/MariaDB, SAP, Amazon RDS (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,3,4,6-99,2000,None (no degree completed),,"No, I never have",40,5 or more,300K-1M (large city),Private business,No,"Stay with the same employer,  but change roles",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Projects, Training/teaching",1
1977,2017,2017-01-09 08:59:30.777,72000.0,United States,Not Asked,Microsoft SQL Server,7,,Full time employee,Analyst,No,7,Not Asked,2,Not Asked,5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Local government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
158,2017,2017-01-05 09:22:27.425,50400.0,Belgium,Not Asked,Microsoft SQL Server,13,Oracle,Full time employee,DBA,No,13,Not Asked,1,Not Asked,56,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
3888,2018,2017-12-16 17:41:41.759,59000.0,United States,48109,Microsoft SQL Server,9,,Full time employee,Analyst,No,8,Not Asked,3,Not Asked,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,"Education (K-12, college, university)","Yes, actively looking for something else",Change both employers and roles,Female,,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects",1
902,2017,2017-01-05 14:22:56.252,100000.0,Australia,Not Asked,Microsoft SQL Server,15,,Full time employee,DBA,No,10,Not Asked,None,Not Asked,10,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
352,2017,2017-01-05 11:18:38.408,125000.0,United States,Not Asked,Microsoft SQL Server,20,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access",Full time employee,DBA,No,20,Not Asked,None,Not Asked,20,Masters,Yes,"Yes, and they're currently valid",45,2,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4540,2018,2017-12-20 08:11:27.939,45000.0,United States,18428,Microsoft SQL Server,1,"MySQL/MariaDB, Microsoft Access, SQLite",Full time employee,Developer: T-SQL,No,0,Not Asked,More than 5,Not Asked,3,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Developer: App code (C#, JS, etc)",Projects,1
4130,2018,2017-12-18 15:46:32.739,110000.0,United States,83646,Microsoft SQL Server,11,"MongoDB, SAP",Full time employee,Developer: T-SQL,No,6,Not Asked,1,Not Asked,8,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, Training/teaching",1
754,2017,2017-01-05 12:57:40.577,135000.0,United States,Not Asked,Microsoft SQL Server,25,"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2",Full time employee,DBA,Yes,10,Not Asked,None,Not Asked,21,None (no degree completed),,"Yes, but they expired",35,5 or more,Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
